BURN2	2	AL2D	8	2ALS, 1XT, 1MP, 1DC, 1CWFULL, 1FS, 1XT, 1MP
BURNADA2	1	ADA	24	2E, 1T, 1XT, 2ALS, 1BC, 1DC, 1CWFULL, 1FS, 1E, 1XT
BURNB	5	BLSU9	4	1XT, 1ECC, 1FS, 0BLS
BURNFEI1	3	FALS1FEI	14	1E, 1ALS, 1XT, 1FEI, 1FS
BURNFEIB	5	FCFEI	22	1E, 1XT, 1FEI, 1FS, 1E
BURNMPD2	1	FDMULTP	5	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
CHIMNEY	2	FJ	22	5E, 2T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
CHIMNEYS	4	FH	2	3E, 1T, 1XT, 1E, 1XT, 1BC, 1DC, 1CWFULL, 1TG
CHOKING1	3	ALS1	10	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
CHOKING2	2	ALS2	7	2ALS, 1XT, 1MP, 1CWEMS, 1FS, 1XT, 1E
CHOKINGB	5	BLSU9	5	1XT, 1ECC, 1FS, 0BLS
COLD1	3	ALS1	3	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
COLDB	5	BLSU9	4	1XT, 1ECC, 1FS, 0BLS
COLDM	2	MLTP	1	2XT, 2ALS, 1MP, 1CWFULL
CP1	3	ALS1	9	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
CP2	2	ALS2	1	2ALS, 1XT, 1MP, 1CWEMS, 1FS, 1XT, 1E
CPR2	1	ALS2EMSDO	40	2ALS, 1XT, 1MP, 1EMSDO, 1CWEMS, 1FS, 1XT, 1MP
CPRHEMM2	1	ALS2EMSDO	2	2ALS, 1XT, 1MP, 1EMSDO, 1CWEMS, 1FS, 1XT, 1MP
CPRHM2	1	HMEMSDO	10	2E, 1T, 2XT, 2ALS, 1HM, 0HM751, 0HMU, 1HMS, 1EMSDO, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1TG, 1UAS, 1FS
CPROD2	1	ALS2EMSDO	38	2ALS, 1XT, 1MP, 1EMSDO, 1CWEMS, 1FS, 1XT, 1MP
CTRBLRNR	6	SE	3	1E, 1ECC, 1FS
CTRLBRN	5	SE	2	1E, 1ECC, 1FS
CTRLBRNB	4	FC	3	1E, 1XT, 1FS, 1E, 1XT
CTRLBRNM	3	FX	1	1E, 1ALS, 2XT, 1FS
DECKOVER	4	DECKOVERE	9	5E, 2T, 1RS, 3W, 1XT, 1BC, 1BC, 2DC, 1INV, 1CWFULL, 1FS, 1TG
DECKOVH	4	HMFULL	9	5E, 2T, 1RS, 2ALS, 2XT, 2HM, 0HMU, 2HMS, 1BC, 1BC, 2DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
DECLOC1	3	ALS1	36	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
DIABEPOL1	3	AL1D	6	1ALS, 1XT, 1MP, 1FS, 1XT, 1E, 1DC, 1CWFULL
DIABETIC1	3	ALS1	6	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
DROWN1	3	AL1D	16	1ALS, 1XT, 1MP, 1FS, 1XT, 1E, 1DC, 1CWFULL
DROWN2	2	PA2	10	2ALS, 1XT, 1RS, 1E, 1E, 1XT, 1DC, 1CWFULL, 1FS
DROWNB	5	BLSU9	10	1XT, 1ECC, 1FS, 0BLS
DSASTRDAN	3	SA	4	1ECC
DSASTRINC	5	SA	8	1ECC
DSASTRINF	6	SA	8	1ECC
DSASTRMCI	2	SA	4	1ECC
DSASTRMED	3	SA	4	1ECC
DSASTRREF	9	SA	4	1ECC
DSASTRSC	9	SA	16	1ECC
DSASTRTRP	2	SA	4	1ECC
DSASTRUTL	5	SA	4	1ECC
ELECDSTR	4	FE	10	2E, 1T, 1E, 1FS
ELECDSTRB	4	FF	4	2E, 1T, 1XT, 1CWFULL, 1FS
ELECDSTRM	3	FDMULTP	2	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
ELECHAZ	4	FE	31	2E, 1T, 1E, 1FS
ELECHAZ1	3	AL1D	15	1ALS, 1XT, 1MP, 1FS, 1XT, 1E, 1DC, 1CWFULL
ELECHAZB	4	FF	10	2E, 1T, 1XT, 1CWFULL, 1FS
ELECHAZM	3	FDMULTP	27	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
ELECHAZSE	5	FA	13	1E, 1ECC, 1FS
ELECHZSEB	4	FC	6	1E, 1XT, 1FS, 1E, 1XT
ELECODR	4	FE	10	2E, 1T, 1E, 1FS
ELECODRB	4	FF	4	2E, 1T, 1XT, 1CWFULL, 1FS
ELECODRM	3	FDMULTP	2	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
ELECODRR	5	SE	7	1E, 1ECC, 1FS
ELECSOL	4	FE	11	2E, 1T, 1E, 1FS
ELECSOLB	3	FF	3	2E, 1T, 1XT, 1CWFULL, 1FS
ELECSOLM	3	FDMULTP	2	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
ELECTRO1	3	AL1D	13	1ALS, 1XT, 1MP, 1FS, 1XT, 1E, 1DC, 1CWFULL
ELECTRO2	2	AL2D	6	2ALS, 1XT, 1MP, 1DC, 1CWFULL, 1FS, 1XT, 1MP
ELECTROM	2	MLTP	2	2XT, 2ALS, 1MP, 1CWFULL
